Slice,Count,Total Area,Average Size,%Area,Mean
H20.33.001-A2-GFAP_Layer5-6_analysis_30pct.tif,31281,102770.306,3.285,1.741,255
H20.33.013-A1-GFAP_Layer5-6_analysis_30pct.tif,35948,125927.685,3.503,3.869,255
H20.33.043-A2-GFAP_Layer5-6_analysis_30pct.tif,63811,213770.991,3.350,4.002,255
H21.33.006-A1-GFAP_Layer5-6_analysis_30pct.tif,23899,86911.879,3.637,1.851,255
H21.33.014-A2-GFAP_Layer5-6_analysis_30pct.tif,17883,49505.314,2.768,1.410,255
H21.33.015-A1-GFAP_Layer5-6_analysis_30pct.tif,71276,253601.231,3.558,3.723,255
H21.33.023-A2-GFAP_Layer5-6_analysis_30pct.tif,53577,208522.338,3.892,4.393,255
