Slice,Count,Total Area,Average Size,%Area,Mean
H20.33.017-A1-AT_Layer5-6_analysis_30pct.tif,132420,339300.894,2.562,3.993,255
H21.33.031-A2-AT_Layer5-6_analysis_30pct.tif,69366,173612.664,2.503,5.109,255
H21.33.046-A2-AT_Layer5-6_analysis_30pct.tif,19451,37521.043,1.929,0.562,255
H20.33.020-A2-AT_Layer5-6_analysis_30pct.tif,194763,563968.987,2.896,6.025,255
H21.33.027-A2-AT_Layer5-6_analysis_30pct.tif,28891,59959.849,2.075,0.733,255
H21.33.029-A2-AT_Layer5-6_analysis_30pct.tif,66720,170840.269,2.561,2.615,255
H20.33.004-A1-AT_Layer5-6_analysis_30pct.tif,9278,18608.429,2.006,0.405,255
