Slice,Count,Total Area,Average Size,%Area,Mean
H20.33.013-A01-AT_Layer5-6_analysis_30pct.tif,2064,3298.492,1.598,0.140,255
H20.33.043-A2-AT_Layer5-6_analysis_30pct.tif,2216,3375.482,1.523,0.063,255
H21.33.014-A2-AT_Layer5-6_analysis_30pct.tif,1684,2704.713,1.606,0.077,255
H21.33.015-A1-AT_Layer5-6_analysis_30pct.tif,3963,6235.434,1.573,0.090,255
H21.33.023-A2-AT_Layer5-6_analysis_30pct.tif,1752,3032.801,1.731,0.070,255
H20.33.001-A2-AT_Layer5-6_analysis_30pct.tif,597,1177.494,1.972,0.020,255
H21.33.006-A1-AT_Layer5-6_analysis_30pct.tif,7728,15471.716,2.002,0.363,255
