 ,Area,Mean,IntDen,RawIntDen
1,125,255,31875,31875
2,75,255,19125,19125
3,97,255,24735,24735
4,19,255,4845,4845
5,20,255,5100,5100
6,31,255,7905,7905
7,36,255,9180,9180
8,209,255,53295,53295
9,48,255,12240,12240
10,31,255,7905,7905
11,278,255,70890,70890
12,37,255,9435,9435
13,20,255,5100,5100
14,62,255,15810,15810
15,182,255,46410,46410
16,44,255,11220,11220
17,184,255,46920,46920
18,530,255,135150,135150
19,24,255,6120,6120
20,75,255,19125,19125
21,22,255,5610,5610
22,153,255,39015,39015
23,18,255,4590,4590
24,121,255,30855,30855
25,57,255,14535,14535
26,30,255,7650,7650
27,52,255,13260,13260
28,78,255,19890,19890
29,101,255,25755,25755
30,105,255,26775,26775
31,26,255,6630,6630
32,83,255,21165,21165
33,32,255,8160,8160
34,116,255,29580,29580
35,43,255,10965,10965
36,82,255,20910,20910
37,19,255,4845,4845
38,62,255,15810,15810
39,64,255,16320,16320
40,22,255,5610,5610
41,49,255,12495,12495
42,68,255,17340,17340
43,52,255,13260,13260
44,38,255,9690,9690
45,68,255,17340,17340
46,36,255,9180,9180
47,15,255,3825,3825
48,290,255,73950,73950
49,94,255,23970,23970
50,16,255,4080,4080
51,17,255,4335,4335
52,36,255,9180,9180
53,26,255,6630,6630
54,18,255,4590,4590
55,39,255,9945,9945
56,38,255,9690,9690
57,148,255,37740,37740
58,124,255,31620,31620
59,112,255,28560,28560
60,23,255,5865,5865
61,43,255,10965,10965
62,18,255,4590,4590
63,19,255,4845,4845
64,20,255,5100,5100
65,86,255,21930,21930
66,35,255,8925,8925
67,36,255,9180,9180
68,44,255,11220,11220
69,98,255,24990,24990
70,25,255,6375,6375
71,28,255,7140,7140
72,48,255,12240,12240
73,238,255,60690,60690
74,137,255,34935,34935
75,21,255,5355,5355
76,68,255,17340,17340
77,30,255,7650,7650
78,58,255,14790,14790
79,124,255,31620,31620
80,36,255,9180,9180
81,221,255,56355,56355
82,79,255,20145,20145
83,22,255,5610,5610
84,187,255,47685,47685
85,18,255,4590,4590
86,54,255,13770,13770
87,21,255,5355,5355
88,98,255,24990,24990
89,36,255,9180,9180
90,127,255,32385,32385
91,30,255,7650,7650
92,151,255,38505,38505
93,27,255,6885,6885
94,92,255,23460,23460
95,24,255,6120,6120
96,42,255,10710,10710
97,62,255,15810,15810
98,63,255,16065,16065
99,32,255,8160,8160
100,24,255,6120,6120
101,109,255,27795,27795
102,42,255,10710,10710
103,218,255,55590,55590
104,45,255,11475,11475
105,132,255,33660,33660
106,53,255,13515,13515
107,35,255,8925,8925
108,37,255,9435,9435
109,68,255,17340,17340
110,86,255,21930,21930
111,38,255,9690,9690
112,16,255,4080,4080
113,53,255,13515,13515
114,127,255,32385,32385
115,19,255,4845,4845
116,19,255,4845,4845
117,99,255,25245,25245
118,16,255,4080,4080
119,76,255,19380,19380
120,20,255,5100,5100
121,26,255,6630,6630
122,21,255,5355,5355
