 ,Area,Mean,IntDen,RawIntDen
1,214,255,54570,54570
2,49,255,12495,12495
3,35,255,8925,8925
4,38,255,9690,9690
5,22,255,5610,5610
6,172,255,43860,43860
7,54,255,13770,13770
8,79,255,20145,20145
9,28,255,7140,7140
10,22,255,5610,5610
11,23,255,5865,5865
12,35,255,8925,8925
13,34,255,8670,8670
14,46,255,11730,11730
15,21,255,5355,5355
16,27,255,6885,6885
17,195,255,49725,49725
18,175,255,44625,44625
19,97,255,24735,24735
20,37,255,9435,9435
21,17,255,4335,4335
22,38,255,9690,9690
23,46,255,11730,11730
24,16,255,4080,4080
25,47,255,11985,11985
26,15,255,3825,3825
27,103,255,26265,26265
28,49,255,12495,12495
29,39,255,9945,9945
30,36,255,9180,9180
31,46,255,11730,11730
32,53,255,13515,13515
33,15,255,3825,3825
34,774,255,197370,197370
35,25,255,6375,6375
36,76,255,19380,19380
37,19,255,4845,4845
38,19,255,4845,4845
39,32,255,8160,8160
40,23,255,5865,5865
41,22,255,5610,5610
42,142,255,36210,36210
43,182,255,46410,46410
44,17,255,4335,4335
45,25,255,6375,6375
46,20,255,5100,5100
47,452,255,115260,115260
48,20,255,5100,5100
49,30,255,7650,7650
50,56,255,14280,14280
51,57,255,14535,14535
52,114,255,29070,29070
53,36,255,9180,9180
54,41,255,10455,10455
55,27,255,6885,6885
56,63,255,16065,16065
57,23,255,5865,5865
58,67,255,17085,17085
59,57,255,14535,14535
60,23,255,5865,5865
61,41,255,10455,10455
62,29,255,7395,7395
63,193,255,49215,49215
64,78,255,19890,19890
65,64,255,16320,16320
66,60,255,15300,15300
67,23,255,5865,5865
68,22,255,5610,5610
69,118,255,30090,30090
70,177,255,45135,45135
71,29,255,7395,7395
72,26,255,6630,6630
73,68,255,17340,17340
74,21,255,5355,5355
75,21,255,5355,5355
76,43,255,10965,10965
77,49,255,12495,12495
78,46,255,11730,11730
79,42,255,10710,10710
80,55,255,14025,14025
81,17,255,4335,4335
82,36,255,9180,9180
83,73,255,18615,18615
84,81,255,20655,20655
85,35,255,8925,8925
86,19,255,4845,4845
87,19,255,4845,4845
88,26,255,6630,6630
89,55,255,14025,14025
90,17,255,4335,4335
91,17,255,4335,4335
92,40,255,10200,10200
93,16,255,4080,4080
94,90,255,22950,22950
95,22,255,5610,5610
96,39,255,9945,9945
97,247,255,62985,62985
98,19,255,4845,4845
99,101,255,25755,25755
100,85,255,21675,21675
101,97,255,24735,24735
102,73,255,18615,18615
103,58,255,14790,14790
104,15,255,3825,3825
105,16,255,4080,4080
106,28,255,7140,7140
107,58,255,14790,14790
108,36,255,9180,9180
109,26,255,6630,6630
110,41,255,10455,10455
111,16,255,4080,4080
112,113,255,28815,28815
113,61,255,15555,15555
114,18,255,4590,4590
115,36,255,9180,9180
116,53,255,13515,13515
117,25,255,6375,6375
118,138,255,35190,35190
119,16,255,4080,4080
120,15,255,3825,3825
121,56,255,14280,14280
122,132,255,33660,33660
123,92,255,23460,23460
124,49,255,12495,12495
125,39,255,9945,9945
126,15,255,3825,3825
127,18,255,4590,4590
128,58,255,14790,14790
129,83,255,21165,21165
130,30,255,7650,7650
131,44,255,11220,11220
132,23,255,5865,5865
133,52,255,13260,13260
134,64,255,16320,16320
135,41,255,10455,10455
136,15,255,3825,3825
137,45,255,11475,11475
138,22,255,5610,5610
139,31,255,7905,7905
140,50,255,12750,12750
141,17,255,4335,4335
142,66,255,16830,16830
143,91,255,23205,23205
144,37,255,9435,9435
145,25,255,6375,6375
146,19,255,4845,4845
147,25,255,6375,6375
148,22,255,5610,5610
149,16,255,4080,4080
150,26,255,6630,6630
151,30,255,7650,7650
152,36,255,9180,9180
153,42,255,10710,10710
154,79,255,20145,20145
155,18,255,4590,4590
156,24,255,6120,6120
157,60,255,15300,15300
158,24,255,6120,6120
159,30,255,7650,7650
160,99,255,25245,25245
161,38,255,9690,9690
162,24,255,6120,6120
163,26,255,6630,6630
164,95,255,24225,24225
165,24,255,6120,6120
166,25,255,6375,6375
167,42,255,10710,10710
168,17,255,4335,4335
169,20,255,5100,5100
170,30,255,7650,7650
171,41,255,10455,10455
172,15,255,3825,3825
173,16,255,4080,4080
174,42,255,10710,10710
175,30,255,7650,7650
176,16,255,4080,4080
177,27,255,6885,6885
178,27,255,6885,6885
179,34,255,8670,8670
180,53,255,13515,13515
181,35,255,8925,8925
182,76,255,19380,19380
183,20,255,5100,5100
184,70,255,17850,17850
185,195,255,49725,49725
186,20,255,5100,5100
187,173,255,44115,44115
188,224,255,57120,57120
189,190,255,48450,48450
190,20,255,5100,5100
191,159,255,40545,40545
192,18,255,4590,4590
193,24,255,6120,6120
194,41,255,10455,10455
195,22,255,5610,5610
196,26,255,6630,6630
197,18,255,4590,4590
198,185,255,47175,47175
199,27,255,6885,6885
200,30,255,7650,7650
201,99,255,25245,25245
202,19,255,4845,4845
203,103,255,26265,26265
204,16,255,4080,4080
205,23,255,5865,5865
206,16,255,4080,4080
207,26,255,6630,6630
208,16,255,4080,4080
209,33,255,8415,8415
