 ,Area,Mean,IntDen,RawIntDen
1,37,255,9435,9435
2,71,255,18105,18105
3,72,255,18360,18360
4,79,255,20145,20145
5,221,255,56355,56355
6,25,255,6375,6375
7,28,255,7140,7140
8,226,255,57630,57630
9,75,255,19125,19125
10,53,255,13515,13515
11,62,255,15810,15810
12,67,255,17085,17085
13,100,255,25500,25500
14,141,255,35955,35955
15,128,255,32640,32640
16,19,255,4845,4845
17,21,255,5355,5355
18,74,255,18870,18870
19,91,255,23205,23205
20,45,255,11475,11475
21,37,255,9435,9435
22,22,255,5610,5610
23,159,255,40545,40545
24,25,255,6375,6375
25,39,255,9945,9945
26,64,255,16320,16320
27,232,255,59160,59160
28,21,255,5355,5355
29,60,255,15300,15300
30,120,255,30600,30600
31,19,255,4845,4845
32,75,255,19125,19125
33,73,255,18615,18615
34,66,255,16830,16830
35,32,255,8160,8160
36,42,255,10710,10710
37,18,255,4590,4590
38,148,255,37740,37740
39,416,255,106080,106080
40,54,255,13770,13770
41,591,255,150705,150705
42,52,255,13260,13260
43,64,255,16320,16320
44,23,255,5865,5865
45,79,255,20145,20145
46,146,255,37230,37230
47,59,255,15045,15045
48,64,255,16320,16320
49,70,255,17850,17850
50,22,255,5610,5610
51,40,255,10200,10200
52,35,255,8925,8925
53,17,255,4335,4335
54,126,255,32130,32130
55,25,255,6375,6375
56,33,255,8415,8415
57,150,255,38250,38250
58,51,255,13005,13005
59,44,255,11220,11220
60,16,255,4080,4080
61,481,255,122655,122655
62,270,255,68850,68850
63,334,255,85170,85170
64,41,255,10455,10455
65,15,255,3825,3825
66,117,255,29835,29835
67,79,255,20145,20145
68,30,255,7650,7650
69,121,255,30855,30855
70,30,255,7650,7650
71,298,255,75990,75990
72,84,255,21420,21420
73,28,255,7140,7140
74,41,255,10455,10455
75,117,255,29835,29835
76,237,255,60435,60435
77,42,255,10710,10710
78,17,255,4335,4335
79,45,255,11475,11475
80,48,255,12240,12240
81,45,255,11475,11475
82,220,255,56100,56100
83,47,255,11985,11985
84,78,255,19890,19890
85,28,255,7140,7140
86,78,255,19890,19890
87,102,255,26010,26010
88,24,255,6120,6120
89,23,255,5865,5865
90,133,255,33915,33915
91,17,255,4335,4335
92,131,255,33405,33405
93,103,255,26265,26265
94,66,255,16830,16830
95,50,255,12750,12750
96,59,255,15045,15045
97,110,255,28050,28050
98,47,255,11985,11985
99,31,255,7905,7905
100,22,255,5610,5610
101,21,255,5355,5355
102,15,255,3825,3825
103,22,255,5610,5610
104,187,255,47685,47685
105,52,255,13260,13260
106,18,255,4590,4590
107,96,255,24480,24480
108,117,255,29835,29835
109,27,255,6885,6885
110,54,255,13770,13770
111,148,255,37740,37740
112,24,255,6120,6120
113,136,255,34680,34680
114,113,255,28815,28815
115,39,255,9945,9945
116,18,255,4590,4590
117,22,255,5610,5610
118,41,255,10455,10455
119,38,255,9690,9690
120,68,255,17340,17340
121,55,255,14025,14025
122,21,255,5355,5355
123,15,255,3825,3825
124,50,255,12750,12750
125,112,255,28560,28560
126,102,255,26010,26010
127,42,255,10710,10710
128,138,255,35190,35190
129,60,255,15300,15300
130,63,255,16065,16065
131,47,255,11985,11985
132,158,255,40290,40290
133,40,255,10200,10200
134,49,255,12495,12495
135,117,255,29835,29835
136,76,255,19380,19380
137,24,255,6120,6120
138,90,255,22950,22950
139,103,255,26265,26265
140,29,255,7395,7395
141,33,255,8415,8415
142,112,255,28560,28560
143,24,255,6120,6120
