 ,Area,Mean,IntDen,RawIntDen
1,71,255,18105,18105
2,61,255,15555,15555
3,116,255,29580,29580
4,44,255,11220,11220
5,156,255,39780,39780
6,68,255,17340,17340
7,86,255,21930,21930
8,55,255,14025,14025
9,31,255,7905,7905
10,121,255,30855,30855
11,189,255,48195,48195
12,127,255,32385,32385
13,295,255,75225,75225
14,25,255,6375,6375
15,42,255,10710,10710
16,21,255,5355,5355
17,22,255,5610,5610
18,41,255,10455,10455
19,55,255,14025,14025
20,85,255,21675,21675
21,28,255,7140,7140
22,28,255,7140,7140
23,45,255,11475,11475
24,62,255,15810,15810
25,80,255,20400,20400
26,38,255,9690,9690
27,25,255,6375,6375
28,37,255,9435,9435
29,53,255,13515,13515
30,83,255,21165,21165
31,35,255,8925,8925
32,39,255,9945,9945
33,29,255,7395,7395
34,23,255,5865,5865
35,56,255,14280,14280
36,39,255,9945,9945
37,29,255,7395,7395
38,92,255,23460,23460
39,34,255,8670,8670
40,54,255,13770,13770
41,17,255,4335,4335
42,53,255,13515,13515
43,105,255,26775,26775
44,16,255,4080,4080
45,149,255,37995,37995
46,45,255,11475,11475
47,20,255,5100,5100
48,40,255,10200,10200
49,17,255,4335,4335
50,53,255,13515,13515
51,16,255,4080,4080
52,51,255,13005,13005
53,45,255,11475,11475
54,44,255,11220,11220
55,87,255,22185,22185
56,32,255,8160,8160
57,68,255,17340,17340
58,16,255,4080,4080
59,24,255,6120,6120
60,25,255,6375,6375
61,34,255,8670,8670
62,185,255,47175,47175
63,45,255,11475,11475
64,58,255,14790,14790
65,15,255,3825,3825
66,63,255,16065,16065
67,140,255,35700,35700
68,50,255,12750,12750
69,42,255,10710,10710
70,73,255,18615,18615
71,89,255,22695,22695
72,15,255,3825,3825
73,18,255,4590,4590
74,62,255,15810,15810
75,75,255,19125,19125
76,28,255,7140,7140
77,26,255,6630,6630
78,23,255,5865,5865
79,31,255,7905,7905
80,18,255,4590,4590
81,20,255,5100,5100
82,138,255,35190,35190
83,15,255,3825,3825
84,35,255,8925,8925
85,31,255,7905,7905
86,38,255,9690,9690
87,211,255,53805,53805
88,64,255,16320,16320
89,100,255,25500,25500
90,16,255,4080,4080
91,62,255,15810,15810
92,62,255,15810,15810
93,42,255,10710,10710
94,18,255,4590,4590
95,17,255,4335,4335
96,18,255,4590,4590
97,70,255,17850,17850
98,96,255,24480,24480
99,22,255,5610,5610
100,55,255,14025,14025
101,19,255,4845,4845
102,67,255,17085,17085
103,15,255,3825,3825
104,53,255,13515,13515
105,150,255,38250,38250
106,69,255,17595,17595
107,76,255,19380,19380
108,16,255,4080,4080
109,49,255,12495,12495
110,30,255,7650,7650
111,137,255,34935,34935
112,66,255,16830,16830
113,110,255,28050,28050
114,30,255,7650,7650
115,33,255,8415,8415
116,30,255,7650,7650
117,20,255,5100,5100
118,55,255,14025,14025
119,17,255,4335,4335
120,37,255,9435,9435
121,39,255,9945,9945
122,65,255,16575,16575
123,77,255,19635,19635
124,113,255,28815,28815
125,63,255,16065,16065
126,30,255,7650,7650
127,22,255,5610,5610
128,29,255,7395,7395
129,19,255,4845,4845
130,28,255,7140,7140
131,34,255,8670,8670
132,55,255,14025,14025
133,21,255,5355,5355
134,35,255,8925,8925
135,58,255,14790,14790
136,60,255,15300,15300
137,54,255,13770,13770
138,85,255,21675,21675
139,163,255,41565,41565
140,48,255,12240,12240
141,26,255,6630,6630
142,30,255,7650,7650
143,28,255,7140,7140
144,26,255,6630,6630
145,32,255,8160,8160
146,19,255,4845,4845
147,30,255,7650,7650
148,18,255,4590,4590
149,43,255,10965,10965
150,82,255,20910,20910
151,19,255,4845,4845
152,58,255,14790,14790
153,56,255,14280,14280
154,31,255,7905,7905
155,64,255,16320,16320
156,274,255,69870,69870
157,63,255,16065,16065
158,34,255,8670,8670
159,29,255,7395,7395
160,103,255,26265,26265
161,21,255,5355,5355
162,83,255,21165,21165
163,42,255,10710,10710
164,63,255,16065,16065
165,47,255,11985,11985
166,20,255,5100,5100
167,25,255,6375,6375
168,25,255,6375,6375
169,22,255,5610,5610
170,28,255,7140,7140
171,61,255,15555,15555
172,16,255,4080,4080
173,30,255,7650,7650
174,21,255,5355,5355
175,17,255,4335,4335
176,27,255,6885,6885
177,93,255,23715,23715
178,48,255,12240,12240
179,20,255,5100,5100
180,32,255,8160,8160
181,26,255,6630,6630
182,54,255,13770,13770
183,31,255,7905,7905
184,59,255,15045,15045
185,28,255,7140,7140
186,28,255,7140,7140
187,39,255,9945,9945
188,25,255,6375,6375
189,87,255,22185,22185
190,59,255,15045,15045
191,33,255,8415,8415
192,105,255,26775,26775
193,22,255,5610,5610
194,48,255,12240,12240
195,24,255,6120,6120
196,262,255,66810,66810
