 ,Area,Mean,IntDen,RawIntDen
197,32,255,8160,8160
198,16,255,4080,4080
199,56,255,14280,14280
200,33,255,8415,8415
201,15,255,3825,3825
202,16,255,4080,4080
203,151,255,38505,38505
204,73,255,18615,18615
205,16,255,4080,4080
206,25,255,6375,6375
207,17,255,4335,4335
208,41,255,10455,10455
209,161,255,41055,41055
210,27,255,6885,6885
211,19,255,4845,4845
212,70,255,17850,17850
213,34,255,8670,8670
214,20,255,5100,5100
215,25,255,6375,6375
216,27,255,6885,6885
217,25,255,6375,6375
218,62,255,15810,15810
219,47,255,11985,11985
220,18,255,4590,4590
221,22,255,5610,5610
222,18,255,4590,4590
223,43,255,10965,10965
224,21,255,5355,5355
225,27,255,6885,6885
226,29,255,7395,7395
227,74,255,18870,18870
228,36,255,9180,9180
229,44,255,11220,11220
230,29,255,7395,7395
231,52,255,13260,13260
232,29,255,7395,7395
233,82,255,20910,20910
234,37,255,9435,9435
235,39,255,9945,9945
236,15,255,3825,3825
237,51,255,13005,13005
238,16,255,4080,4080
239,49,255,12495,12495
240,29,255,7395,7395
241,51,255,13005,13005
242,59,255,15045,15045
243,16,255,4080,4080
244,64,255,16320,16320
245,29,255,7395,7395
246,16,255,4080,4080
247,25,255,6375,6375
248,28,255,7140,7140
249,15,255,3825,3825
250,48,255,12240,12240
251,27,255,6885,6885
252,42,255,10710,10710
253,38,255,9690,9690
254,74,255,18870,18870
255,57,255,14535,14535
256,71,255,18105,18105
257,50,255,12750,12750
258,20,255,5100,5100
259,17,255,4335,4335
260,16,255,4080,4080
261,42,255,10710,10710
262,81,255,20655,20655
263,49,255,12495,12495
264,42,255,10710,10710
265,44,255,11220,11220
266,15,255,3825,3825
267,33,255,8415,8415
268,24,255,6120,6120
269,22,255,5610,5610
270,17,255,4335,4335
271,15,255,3825,3825
272,33,255,8415,8415
273,19,255,4845,4845
274,15,255,3825,3825
275,101,255,25755,25755
276,224,255,57120,57120
277,27,255,6885,6885
278,25,255,6375,6375
279,29,255,7395,7395
280,39,255,9945,9945
281,26,255,6630,6630
282,24,255,6120,6120
283,26,255,6630,6630
284,18,255,4590,4590
285,22,255,5610,5610
286,56,255,14280,14280
287,26,255,6630,6630
288,205,255,52275,52275
289,102,255,26010,26010
290,74,255,18870,18870
291,16,255,4080,4080
292,18,255,4590,4590
293,24,255,6120,6120
294,35,255,8925,8925
295,26,255,6630,6630
296,22,255,5610,5610
297,26,255,6630,6630
298,31,255,7905,7905
299,45,255,11475,11475
300,18,255,4590,4590
